WEBSITE_ID,DATE_ET,Z_REV_LIFETIME,Z_REV_30D,Z_REV_60D,Z_REV_120D,Z_REV_180D,Z_RPS_30D,Z_RPS_60D,Z_RPS_120D,Z_RPS_180D,Z_SESSIONS_30D,Z_US_CHROME_MIX_30D,Z_DIRECT_MIX_30D
75188,2025-04-03,0.0412573248,-0.7281782065,-0.4689807332,-0.04886791733,0.004554175678,-0.6499656985,-0.07136249278,0.1347412384,0.05088918538,-0.5676118883,0.5265156543,0
75188,2025-04-02,0.2215107614,-0.3772017754,-0.2874205895,0.1342322848,0.1810469192,-0.5513904747,-0.01352217683,0.156373935,0.07644337525,-0.1058419389,0.03724184497,0
75188,2025-04-01,0.09553318027,-0.5147383155,-0.3851837021,0.012197444,0.06253527241,0.1638748389,0.504926374,0.6236626573,0.5651469292,-0.7659185633,0.8063970049,0
75188,2025-03-31,-0.2836918441,-1.058076352,-0.715445033,-0.3759555557,-0.3034428088,-0.2935887705,0.1544841452,0.2545208763,0.2082168493,-1.307275375,1.559283189,0
75188,2025-03-30,-0.07985844583,-0.7671232253,-0.5439513876,-0.1827916143,-0.1063706878,-0.4226437301,0.02632032553,0.1203862735,0.0898898599,-0.7914624343,-0.5939125636,0
75188,2025-03-29,0.9961356825,0.8583654584,0.4313631544,0.8877626507,0.9427577677,2.462417487,2.136655765,2.036271689,2.131764473,-0.2881220819,-0.4806411864,0
75188,2025-03-28,0.4610050346,-0.01870589367,-0.06124261172,0.3604356977,0.4262599808,0.8440168436,0.9994860219,1.006619988,1.033892476,-0.4802066696,0.3654370653,0
75188,2025-03-27,0.2165465134,-0.392063799,-0.2716129454,0.1192354686,0.1898440894,-0.08713840893,0.3391950783,0.4083592239,0.3978656423,-0.4729699599,0.9018705456,0
75188,2025-03-26,0.2410260944,-0.3810438917,-0.2326890447,0.1464827933,0.2171015518,-0.5817914263,-0.03296515772,0.06473846218,0.03089335999,-0.1757828822,0.9207702865,0
75188,2025-03-25,1.602437184,0.997706479,0.9926152731,1.522587751,1.555503311,-0.8058582998,-0.1693878968,-0.07576594779,-0.1089787346,2.653460479,0.7815130386,0
