WEBSITE_ID,DT_ET,SESSION_TYPE,REVENUE,SESSIONS,RPS,PERC_MAKEUP
74058,2026-03-03 04:00:00.000 -0500,case1,11.92579787,4582.599816,0.002602408753,35.688964342900
74058,2026-03-03 04:00:00.000 -0500,case2,2.477762595,1096.229765,0.002260258455,8.537360137400
74058,2026-03-03 04:00:00.000 -0500,case3,4.505332426,2011.389975,0.002239909954,15.664563343900
74058,2026-03-03 05:00:00.000 -0500,case0,13.688545257,4922.440062,0.002780845492,43.029763792600
74058,2026-03-03 05:00:00.000 -0500,case1,6.615926364,2609.310197,0.002535507803,22.809419723600
74058,2026-03-03 05:00:00.000 -0500,case2,4.216820317,1896.114422,0.002223927136,16.574982056600
74058,2026-03-03 05:00:00.000 -0500,case3,5.752112401,2011.752059,0.002859255133,17.585834427200
74058,2026-03-03 06:00:00.000 -0500,case0,10.669655991,4192.401619,0.002544998538,41.476208442500
74058,2026-03-03 06:00:00.000 -0500,case1,6.720404548,2395.525087,0.002805399361,23.699374932800
74058,2026-03-03 06:00:00.000 -0500,case2,4.374871306,2015.295723,0.00217083342,19.937695163000
74058,2026-03-03 06:00:00.000 -0500,case3,3.689533365,1504.744949,0.002451932713,14.886721461700
74058,2026-03-03 07:00:00.000 -0500,case0,15.561617261,4527.972644,0.003436773692,43.812751435500
74058,2026-03-03 07:00:00.000 -0500,case1,8.716094006,2502.537761,0.003482902093,24.214604084600
74058,2026-03-03 07:00:00.000 -0500,case2,2.655990185,664.612740,0.003996297431,6.430805808200
74058,2026-03-03 07:00:00.000 -0500,case3,10.10361441,2639.705177,0.003827554114,25.541838671700
74058,2026-03-03 08:00:00.000 -0500,case0,25.688633241,4682.854858,0.005485677865,39.907155248500
74058,2026-03-03 08:00:00.000 -0500,case1,14.855777664,3053.486350,0.004865185549,26.021723396000
74058,2026-03-03 08:00:00.000 -0500,case2,3.84301949,612.977437,0.006269430583,5.223776197200
74058,2026-03-03 08:00:00.000 -0500,case3,17.036431978,3385.055376,0.00503283701,28.847345158300
74058,2026-03-03 09:00:00.000 -0500,case0,37.808352448,5363.304070,0.007049451598,38.253042153500
74058,2026-03-03 09:00:00.000 -0500,case1,24.997434771,3548.307912,0.007044888829,25.307827108000
74058,2026-03-03 09:00:00.000 -0500,case2,5.407155804,725.020838,0.00745793158,5.171113238400
74058,2026-03-03 09:00:00.000 -0500,case3,29.937752214,4383.962061,0.006828925934,31.268017500000
74058,2026-03-03 10:00:00.000 -0500,case0,45.846785056,5625.919758,0.008149207068,36.288631472800
74058,2026-03-03 10:00:00.000 -0500,case1,30.781965699,3846.051210,0.008003524659,24.808020908300
74058,2026-03-03 10:00:00.000 -0500,case2,6.414515113,830.038330,0.007727974577,5.353961016400
74058,2026-03-03 10:00:00.000 -0500,case3,40.260221801,5201.247589,0.00774049324,33.549386602500
74058,2026-03-03 11:00:00.000 -0500,case0,44.399148305,5479.047878,0.008103442294,35.361236995800
74058,2026-03-03 11:00:00.000 -0500,case1,35.539950461,4057.789873,0.008758450184,26.188577390300
74058,2026-03-03 11:00:00.000 -0500,case2,6.099892506,795.710119,0.007665973273,5.135434974200
74058,2026-03-03 11:00:00.000 -0500,case3,42.364100949,5161.954991,0.008206987667,33.314750639700
74058,2026-03-03 12:00:00.000 -0500,case0,42.333473965,5177.589984,0.008176289373,35.370475125200
74058,2026-03-03 12:00:00.000 -0500,case1,33.085277609,3980.704980,0.008311411616,27.194008585300
74058,2026-03-03 12:00:00.000 -0500,case2,5.219070364,714.724669,0.007302211033,4.882609709200
74058,2026-03-03 12:00:00.000 -0500,case3,41.421702981,4765.149534,0.008692634446,32.552906580300
74058,2026-03-03 13:00:00.000 -0500,case0,44.526422621,4775.200646,0.009324513444,34.148653380500
74058,2026-03-03 13:00:00.000 -0500,case1,36.938159741,4006.753065,0.00921897585,28.653292655400
74058,2026-03-03 13:00:00.000 -0500,case2,7.227235708,747.804884,0.009664600838,5.347739639300
74058,2026-03-03 13:00:00.000 -0500,case3,42.760981386,4453.810809,0.009600987384,31.850314324800
74058,2026-03-03 14:00:00.000 -0500,case0,40.029830749,4091.118511,0.009784568851,32.253589479200
74058,2026-03-03 14:00:00.000 -0500,case1,36.979286571,3663.765028,0.01009324733,28.884417022800
74058,2026-03-03 14:00:00.000 -0500,case2,6.84888053,655.580550,0.01044704656,5.168470645200
74058,2026-03-03 14:00:00.000 -0500,case3,40.480897413,4273.762929,0.009471956701,33.693522852700
74058,2026-03-03 15:00:00.000 -0500,case0,32.600449462,4271.976395,0.00763123352,36.202527907700
